model,condition,eval_dataset,n_calib,n_test,temperature,calib_nll,accuracy_before,accuracy_after,ece_before,ece_after,nll_before,nll_after
huatuo,pathvqa,pathvqa,1646,2060,1.964545,0.386555,0.852913,0.852913,0.074202,0.032289,0.386310,0.350249
huatuo,pathvqa,slake_en,233,357,19.999993,0.692315,0.507003,0.507003,0.310179,0.092029,1.054279,0.688680
huatuo,pathvqa,vqa_rad,115,122,19.999994,0.693373,0.532787,0.532787,0.336249,0.107829,1.062422,0.682426
huatuo,slake_en,pathvqa,1646,2060,1.599693,0.605354,0.627670,0.627670,0.121199,0.063016,0.679402,0.636001
huatuo,slake_en,slake_en,233,357,1.780905,0.336260,0.837535,0.837535,0.082683,0.038057,0.437842,0.365530
huatuo,slake_en,vqa_rad,115,122,4.791918,0.661588,0.622951,0.622951,0.197220,0.116540,0.770245,0.607549
huatuo,vqa_rad,pathvqa,1646,2060,3.655203,0.644152,0.567961,0.567961,0.228995,0.049035,0.893520,0.667647
huatuo,vqa_rad,slake_en,233,357,2.463385,0.386273,0.831933,0.831933,0.076225,0.050234,0.437294,0.391283
huatuo,vqa_rad,vqa_rad,115,122,2.318980,0.470541,0.819672,0.819672,0.135033,0.073168,0.619904,0.476416
huatuo,zero_shot,pathvqa,1646,2060,1.970875,0.621576,0.672816,0.672816,0.085176,0.045082,0.621231,0.598295
huatuo,zero_shot,slake_en,233,357,1.193836,0.415568,0.756303,0.756303,0.092903,0.073136,0.496575,0.476073
huatuo,zero_shot,vqa_rad,115,122,0.720309,0.490754,0.737705,0.737705,0.071956,0.055740,0.489907,0.493066
internvl,pathvqa,pathvqa,1646,2060,1.501314,0.335603,0.896117,0.896117,0.029825,0.060236,0.287962,0.295591
internvl,pathvqa,slake_en,233,357,6.866892,0.670056,0.532213,0.532213,0.373901,0.068705,1.356477,0.693238
internvl,pathvqa,vqa_rad,115,122,19.999994,0.696683,0.532787,0.532787,0.361429,0.041857,1.449444,0.691267
internvl,slake_en,pathvqa,1646,2060,1.781947,0.631143,0.675728,0.675728,0.048026,0.049281,0.605839,0.605497
internvl,slake_en,slake_en,233,357,1.586722,0.448350,0.689076,0.689076,0.103309,0.072450,0.552732,0.533191
internvl,slake_en,vqa_rad,115,122,4.760442,0.675215,0.647541,0.647541,0.128841,0.079426,0.716041,0.642066
internvl,vqa_rad,pathvqa,1646,2060,8.732276,0.672293,0.503883,0.503883,0.364123,0.078683,1.377259,0.694565
internvl,vqa_rad,slake_en,233,357,3.065608,0.475423,0.677871,0.677871,0.212010,0.070740,0.846975,0.597848
internvl,vqa_rad,vqa_rad,115,122,3.442410,0.539244,0.795082,0.795082,0.168884,0.091123,0.794469,0.495950
internvl,zero_shot,pathvqa,1646,2060,1.396370,0.605444,0.548544,0.548544,0.163457,0.121907,0.760378,0.712931
internvl,zero_shot,slake_en,233,357,0.630098,0.343572,0.683473,0.683473,0.088208,0.141684,0.528755,0.584162
internvl,zero_shot,vqa_rad,115,122,0.566255,0.510815,0.639344,0.639344,0.085714,0.105218,0.574377,0.584885
llavaov,pathvqa,pathvqa,1646,2060,1.307057,0.556988,0.754854,0.754854,0.068781,0.079979,0.564967,0.551757
llavaov,pathvqa,slake_en,233,357,19.999995,0.700655,0.574230,0.574230,0.357341,0.188849,1.197230,0.675987
llavaov,pathvqa,vqa_rad,115,122,19.999996,0.707233,0.540984,0.540984,0.411108,0.077376,1.649106,0.694868
llavaov,slake_en,pathvqa,1646,2060,6.558177,0.687367,0.613107,0.613107,0.128679,0.058336,0.750589,0.658211
llavaov,slake_en,slake_en,233,357,3.255962,0.589333,0.736695,0.736695,0.198445,0.163079,1.541288,0.701886
llavaov,slake_en,vqa_rad,115,122,3.375206,0.651574,0.680328,0.680328,0.121071,0.085928,0.716132,0.616504
llavaov,vqa_rad,pathvqa,1646,2060,8.114295,0.685114,0.618932,0.618932,0.165605,0.072791,0.802911,0.670070
llavaov,vqa_rad,slake_en,233,357,4.011066,0.582770,0.750700,0.750700,0.173391,0.066571,0.850058,0.506341
llavaov,vqa_rad,vqa_rad,115,122,3.022051,0.541082,0.663934,0.663934,0.215052,0.099002,0.838293,0.570046
llavaov,zero_shot,pathvqa,1646,2060,10.556745,0.682725,0.641748,0.641748,0.244100,0.074956,0.992758,0.651486
llavaov,zero_shot,slake_en,233,357,18.599479,0.687282,0.501401,0.501401,0.447445,0.223655,1.728793,0.660664
llavaov,zero_shot,vqa_rad,115,122,15.224574,0.688568,0.508197,0.508197,0.349481,0.073585,1.112191,0.676425
medgemma,pathvqa,pathvqa,1646,2060,3.062980,0.545624,0.546117,0.546117,0.293188,0.188990,0.938202,0.647256
medgemma,pathvqa,slake_en,233,357,19.999995,0.698641,0.647059,0.647059,0.093137,0.136973,0.693475,0.688077
medgemma,pathvqa,vqa_rad,115,122,19.999995,0.699523,0.557377,0.557377,0.292786,0.079619,1.379611,0.693808
medgemma,slake_en,pathvqa,1646,2060,4.970878,0.611080,0.662136,0.662136,0.263227,0.061534,1.300161,0.639261
medgemma,slake_en,slake_en,233,357,6.796215,0.545012,0.871148,0.871148,0.116011,0.176819,0.660685,0.445288
medgemma,slake_en,vqa_rad,115,122,9.076591,0.658362,0.655738,0.655738,0.298965,0.044151,1.590165,0.637207
medgemma,vqa_rad,pathvqa,1646,2060,7.271232,0.666751,0.662621,0.662621,0.262388,0.068768,1.100342,0.644190
medgemma,vqa_rad,slake_en,233,357,3.485356,0.463238,0.823529,0.823529,0.158419,0.117160,0.930287,0.476928
medgemma,vqa_rad,vqa_rad,115,122,3.702290,0.518594,0.786885,0.786885,0.176583,0.082101,0.866708,0.485597
medgemma,zero_shot,pathvqa,1646,2060,15.537030,0.654756,0.639320,0.639320,0.330117,0.062678,2.365966,0.635613
medgemma,zero_shot,slake_en,233,357,3.574277,0.375099,0.865546,0.865546,0.124752,0.051959,0.830645,0.354426
medgemma,zero_shot,vqa_rad,115,122,6.815545,0.558993,0.721311,0.721311,0.262922,0.052910,1.813911,0.558749
qwen25vl,pathvqa,pathvqa,1646,2060,1.953722,0.333231,0.879126,0.879126,0.059473,0.036582,0.316530,0.285666
qwen25vl,pathvqa,slake_en,233,357,8.888600,0.673982,0.523810,0.523810,0.415043,0.064071,1.517050,0.695239
qwen25vl,pathvqa,vqa_rad,115,122,19.999994,0.693009,0.565574,0.565574,0.381950,0.038886,1.748044,0.681661
qwen25vl,slake_en,pathvqa,1646,2060,1.595046,0.644108,0.631553,0.631553,0.064723,0.026481,0.656181,0.639190
qwen25vl,slake_en,slake_en,233,357,1.303536,0.403868,0.787115,0.787115,0.060433,0.070432,0.432053,0.433955
qwen25vl,slake_en,vqa_rad,115,122,7.972176,0.684811,0.663934,0.663934,0.221035,0.111459,0.781931,0.659886
qwen25vl,vqa_rad,pathvqa,1646,2060,3.269422,0.626393,0.570874,0.570874,0.273828,0.092102,1.093985,0.699719
qwen25vl,vqa_rad,slake_en,233,357,2.575150,0.432594,0.680672,0.680672,0.238678,0.136838,0.924216,0.587059
qwen25vl,vqa_rad,vqa_rad,115,122,2.501543,0.472204,0.762295,0.762295,0.182749,0.082229,0.646549,0.464152
qwen25vl,zero_shot,pathvqa,1646,2060,2.302345,0.599727,0.702427,0.702427,0.109261,0.031647,0.663081,0.578131
qwen25vl,zero_shot,slake_en,233,357,1.782964,0.404923,0.759104,0.759104,0.089119,0.056904,0.473433,0.449409
qwen25vl,zero_shot,vqa_rad,115,122,1.006853,0.427279,0.778689,0.778689,0.047490,0.045159,0.459609,0.459396
smolvlm,pathvqa,pathvqa,1646,2060,3.189490,0.410282,0.787864,0.787864,0.144938,0.037471,0.655692,0.415780
smolvlm,pathvqa,slake_en,233,357,11.239290,0.661682,0.518207,0.518207,0.445954,0.111377,2.754478,0.708237
smolvlm,pathvqa,vqa_rad,115,122,19.999994,0.696382,0.524590,0.524590,0.420883,0.070969,2.122922,0.684669
smolvlm,slake_en,pathvqa,1646,2060,3.346566,0.656646,0.550485,0.550485,0.211265,0.052180,0.907078,0.696266
smolvlm,slake_en,slake_en,233,357,1.757383,0.481060,0.677871,0.677871,0.184216,0.115171,0.817912,0.637370
smolvlm,slake_en,vqa_rad,115,122,14.487675,0.691255,0.614754,0.614754,0.171390,0.090006,0.826262,0.680944
smolvlm,vqa_rad,pathvqa,1646,2060,6.845258,0.666546,0.520874,0.520874,0.317276,0.069602,1.375661,0.708386
smolvlm,vqa_rad,slake_en,233,357,4.597182,0.566092,0.627451,0.627451,0.252136,0.049390,1.097472,0.627833
smolvlm,vqa_rad,vqa_rad,115,122,2.241236,0.519853,0.827869,0.827869,0.080488,0.090349,0.514419,0.445945
smolvlm,zero_shot,pathvqa,1646,2060,4.224993,0.668197,0.533010,0.533010,0.226014,0.051461,0.944856,0.698135
smolvlm,zero_shot,slake_en,233,357,5.636074,0.630391,0.568627,0.568627,0.280341,0.067082,1.235054,0.668516
smolvlm,zero_shot,vqa_rad,115,122,2.411625,0.633191,0.704918,0.704918,0.130551,0.078119,0.559216,0.559751
