model,train_dataset,corruption,severity,n,accuracy,ece,aurc,sel_acc_70
qwen25vl,vqa_rad,clean,0,122,0.762295,0.182749,0.095587,0.860465
qwen25vl,vqa_rad,gaussian_noise,1,122,0.795082,0.170856,0.092615,0.872093
qwen25vl,vqa_rad,gaussian_noise,2,122,0.770492,0.176113,0.092895,0.872093
qwen25vl,vqa_rad,gaussian_noise,3,122,0.803279,0.159649,0.097234,0.860465
qwen25vl,vqa_rad,gaussian_blur,1,122,0.762295,0.177834,0.090521,0.860465
qwen25vl,vqa_rad,gaussian_blur,2,122,0.786885,0.176052,0.098424,0.860465
qwen25vl,vqa_rad,gaussian_blur,3,122,0.811475,0.155925,0.100667,0.848837
qwen25vl,vqa_rad,motion_blur,1,122,0.778689,0.163415,0.094101,0.872093
qwen25vl,vqa_rad,motion_blur,2,122,0.786885,0.146827,0.098463,0.860465
qwen25vl,vqa_rad,motion_blur,3,122,0.811475,0.130991,0.099894,0.872093
qwen25vl,vqa_rad,brightness_shift,1,122,0.762295,0.173402,0.096348,0.860465
qwen25vl,vqa_rad,brightness_shift,2,122,0.762295,0.174518,0.093748,0.860465
qwen25vl,vqa_rad,brightness_shift,3,122,0.786885,0.181834,0.093322,0.872093
qwen25vl,vqa_rad,contrast_shift,1,122,0.762295,0.178938,0.097852,0.872093
qwen25vl,vqa_rad,contrast_shift,2,122,0.778689,0.173753,0.093668,0.860465
qwen25vl,vqa_rad,contrast_shift,3,122,0.778689,0.156582,0.089578,0.872093
qwen25vl,vqa_rad,jpeg_compression,1,122,0.762295,0.166791,0.094899,0.872093
qwen25vl,vqa_rad,jpeg_compression,2,122,0.762295,0.169456,0.092368,0.872093
qwen25vl,vqa_rad,jpeg_compression,3,122,0.786885,0.143398,0.102788,0.848837
qwen25vl,vqa_rad,downscale_upscale,1,122,0.770492,0.156708,0.095007,0.860465
qwen25vl,vqa_rad,downscale_upscale,2,122,0.770492,0.166442,0.089414,0.872093
qwen25vl,vqa_rad,downscale_upscale,3,122,0.795082,0.140886,0.098980,0.860465
qwen25vl,slake_en,clean,0,357,0.787115,0.060433,0.086886,0.884000
qwen25vl,slake_en,gaussian_noise,1,357,0.784314,0.052949,0.098163,0.848000
qwen25vl,slake_en,gaussian_noise,2,357,0.764706,0.043135,0.093780,0.880000
qwen25vl,slake_en,gaussian_noise,3,357,0.750700,0.043434,0.117835,0.824000
qwen25vl,slake_en,gaussian_blur,1,357,0.784314,0.058624,0.094562,0.868000
qwen25vl,slake_en,gaussian_blur,2,357,0.795518,0.040122,0.099622,0.868000
qwen25vl,slake_en,gaussian_blur,3,357,0.764706,0.073283,0.100295,0.840000
qwen25vl,slake_en,motion_blur,1,357,0.792717,0.056023,0.094834,0.872000
qwen25vl,slake_en,motion_blur,2,357,0.728291,0.070797,0.120608,0.860000
qwen25vl,slake_en,motion_blur,3,357,0.731092,0.066147,0.113697,0.836000
qwen25vl,slake_en,brightness_shift,1,357,0.803922,0.055973,0.087152,0.884000
qwen25vl,slake_en,brightness_shift,2,357,0.809524,0.044219,0.082699,0.892000
qwen25vl,slake_en,brightness_shift,3,357,0.803922,0.041533,0.082430,0.888000
qwen25vl,slake_en,contrast_shift,1,357,0.801120,0.040311,0.087450,0.888000
qwen25vl,slake_en,contrast_shift,2,357,0.789916,0.042570,0.083322,0.896000
qwen25vl,slake_en,contrast_shift,3,357,0.798319,0.037063,0.084914,0.888000
qwen25vl,slake_en,jpeg_compression,1,357,0.778711,0.047157,0.085982,0.892000
qwen25vl,slake_en,jpeg_compression,2,357,0.778711,0.036948,0.093389,0.872000
qwen25vl,slake_en,jpeg_compression,3,357,0.801120,0.053430,0.084054,0.880000
qwen25vl,slake_en,downscale_upscale,1,357,0.781513,0.063674,0.086660,0.880000
qwen25vl,slake_en,downscale_upscale,2,357,0.798319,0.045357,0.084874,0.888000
qwen25vl,slake_en,downscale_upscale,3,357,0.784314,0.047643,0.101964,0.864000
qwen25vl,pathvqa,clean,0,2060,0.879126,0.059473,0.032549,0.956311
qwen25vl,pathvqa,gaussian_noise,1,2060,0.876214,0.061778,0.032613,0.955617
qwen25vl,pathvqa,gaussian_noise,2,2060,0.878155,0.058818,0.032484,0.960472
qwen25vl,pathvqa,gaussian_noise,3,2060,0.875243,0.054981,0.033419,0.959085
qwen25vl,pathvqa,gaussian_blur,1,2060,0.880583,0.057073,0.032117,0.957004
qwen25vl,pathvqa,gaussian_blur,2,2060,0.875728,0.058097,0.032190,0.961165
qwen25vl,pathvqa,gaussian_blur,3,2060,0.876699,0.050903,0.033188,0.959778
qwen25vl,pathvqa,motion_blur,1,2060,0.881068,0.055077,0.031100,0.959778
qwen25vl,pathvqa,motion_blur,2,2060,0.881068,0.050234,0.030343,0.961165
qwen25vl,pathvqa,motion_blur,3,2060,0.877670,0.049037,0.031771,0.959085
qwen25vl,pathvqa,brightness_shift,1,2060,0.880097,0.057753,0.032343,0.953537
qwen25vl,pathvqa,brightness_shift,2,2060,0.880583,0.056143,0.032550,0.952843
qwen25vl,pathvqa,brightness_shift,3,2060,0.882039,0.051733,0.031506,0.953537
qwen25vl,pathvqa,contrast_shift,1,2060,0.881553,0.056473,0.032735,0.954230
qwen25vl,pathvqa,contrast_shift,2,2060,0.880097,0.055747,0.032209,0.957004
qwen25vl,pathvqa,contrast_shift,3,2060,0.883010,0.048783,0.032534,0.953537
qwen25vl,pathvqa,jpeg_compression,1,2060,0.877670,0.060073,0.031303,0.957698
qwen25vl,pathvqa,jpeg_compression,2,2060,0.883010,0.057653,0.031484,0.961165
qwen25vl,pathvqa,jpeg_compression,3,2060,0.876214,0.058432,0.032024,0.959778
qwen25vl,pathvqa,downscale_upscale,1,2060,0.880583,0.058764,0.032527,0.956311
qwen25vl,pathvqa,downscale_upscale,2,2060,0.880097,0.057515,0.032073,0.955617
qwen25vl,pathvqa,downscale_upscale,3,2060,0.876214,0.056917,0.032386,0.957698
internvl,vqa_rad,clean,0,122,0.795082,0.168884,0.142948,0.860465
internvl,vqa_rad,gaussian_noise,1,122,0.778689,0.165897,0.149650,0.848837
internvl,vqa_rad,gaussian_noise,2,122,0.778689,0.184086,0.151635,0.848837
internvl,vqa_rad,gaussian_noise,3,122,0.762295,0.185845,0.148831,0.848837
internvl,vqa_rad,gaussian_blur,1,122,0.786885,0.145444,0.149547,0.837209
internvl,vqa_rad,gaussian_blur,2,122,0.778689,0.188905,0.151251,0.837209
internvl,vqa_rad,gaussian_blur,3,122,0.762295,0.171474,0.143928,0.825581
internvl,vqa_rad,motion_blur,1,122,0.795082,0.173655,0.146757,0.848837
internvl,vqa_rad,motion_blur,2,122,0.786885,0.174606,0.154630,0.802326
internvl,vqa_rad,motion_blur,3,122,0.770492,0.177448,0.153706,0.813953
internvl,vqa_rad,brightness_shift,1,122,0.803279,0.172761,0.144446,0.860465
internvl,vqa_rad,brightness_shift,2,122,0.803279,0.175247,0.153333,0.860465
internvl,vqa_rad,brightness_shift,3,122,0.795082,0.176081,0.150721,0.837209
internvl,vqa_rad,contrast_shift,1,122,0.803279,0.177829,0.141949,0.848837
internvl,vqa_rad,contrast_shift,2,122,0.803279,0.164016,0.150789,0.848837
internvl,vqa_rad,contrast_shift,3,122,0.795082,0.156972,0.146532,0.837209
internvl,vqa_rad,jpeg_compression,1,122,0.795082,0.179353,0.147877,0.848837
internvl,vqa_rad,jpeg_compression,2,122,0.778689,0.164396,0.141256,0.848837
internvl,vqa_rad,jpeg_compression,3,122,0.795082,0.168931,0.150212,0.837209
internvl,vqa_rad,downscale_upscale,1,122,0.795082,0.165293,0.141398,0.860465
internvl,vqa_rad,downscale_upscale,2,122,0.795082,0.168656,0.145865,0.837209
internvl,vqa_rad,downscale_upscale,3,122,0.770492,0.192704,0.150440,0.837209
internvl,slake_en,clean,0,357,0.689076,0.103309,0.148355,0.804000
internvl,slake_en,gaussian_noise,1,357,0.694678,0.097491,0.144422,0.796000
internvl,slake_en,gaussian_noise,2,357,0.680672,0.102722,0.167366,0.780000
internvl,slake_en,gaussian_noise,3,357,0.677871,0.091916,0.185237,0.768000
internvl,slake_en,gaussian_blur,1,357,0.691877,0.108384,0.131018,0.828000
internvl,slake_en,gaussian_blur,2,357,0.680672,0.100935,0.131037,0.816000
internvl,slake_en,gaussian_blur,3,357,0.624650,0.120912,0.179596,0.736000
internvl,slake_en,motion_blur,1,357,0.672269,0.117468,0.152662,0.792000
internvl,slake_en,motion_blur,2,357,0.686275,0.096466,0.163489,0.776000
internvl,slake_en,motion_blur,3,357,0.655462,0.110001,0.180029,0.760000
internvl,slake_en,brightness_shift,1,357,0.703081,0.098284,0.147833,0.804000
internvl,slake_en,brightness_shift,2,357,0.697479,0.096380,0.142933,0.816000
internvl,slake_en,brightness_shift,3,357,0.694678,0.097094,0.140773,0.816000
internvl,slake_en,contrast_shift,1,357,0.705882,0.091760,0.145927,0.812000
internvl,slake_en,contrast_shift,2,357,0.700280,0.098756,0.141161,0.808000
internvl,slake_en,contrast_shift,3,357,0.686275,0.110725,0.139974,0.812000
internvl,slake_en,jpeg_compression,1,357,0.689076,0.104281,0.150616,0.784000
internvl,slake_en,jpeg_compression,2,357,0.683473,0.109998,0.156289,0.796000
internvl,slake_en,jpeg_compression,3,357,0.669468,0.117793,0.155023,0.792000
internvl,slake_en,downscale_upscale,1,357,0.700280,0.090930,0.133089,0.820000
internvl,slake_en,downscale_upscale,2,357,0.697479,0.093326,0.135180,0.808000
internvl,slake_en,downscale_upscale,3,357,0.675070,0.113927,0.136605,0.812000
internvl,pathvqa,clean,0,2060,0.896117,0.029825,0.034302,0.950763
internvl,pathvqa,gaussian_noise,1,2060,0.896602,0.028195,0.033709,0.950763
internvl,pathvqa,gaussian_noise,2,2060,0.896602,0.032379,0.035561,0.948682
internvl,pathvqa,gaussian_noise,3,2060,0.890291,0.027738,0.036210,0.948682
internvl,pathvqa,gaussian_blur,1,2060,0.896602,0.033779,0.035161,0.949376
internvl,pathvqa,gaussian_blur,2,2060,0.891748,0.032125,0.038797,0.941748
internvl,pathvqa,gaussian_blur,3,2060,0.883495,0.033949,0.044373,0.929958
internvl,pathvqa,motion_blur,1,2060,0.899029,0.035069,0.035373,0.947295
internvl,pathvqa,motion_blur,2,2060,0.889806,0.029607,0.036508,0.943828
internvl,pathvqa,motion_blur,3,2060,0.889806,0.033756,0.040086,0.938974
internvl,pathvqa,brightness_shift,1,2060,0.898058,0.032109,0.033808,0.950763
internvl,pathvqa,brightness_shift,2,2060,0.892718,0.035753,0.034001,0.953537
internvl,pathvqa,brightness_shift,3,2060,0.892233,0.033849,0.035260,0.950069
internvl,pathvqa,contrast_shift,1,2060,0.900485,0.032986,0.034061,0.952843
internvl,pathvqa,contrast_shift,2,2060,0.899029,0.031708,0.034456,0.950069
internvl,pathvqa,contrast_shift,3,2060,0.896602,0.032811,0.036622,0.947989
internvl,pathvqa,jpeg_compression,1,2060,0.895631,0.030966,0.034761,0.950069
internvl,pathvqa,jpeg_compression,2,2060,0.890777,0.032689,0.038201,0.943828
internvl,pathvqa,jpeg_compression,3,2060,0.883010,0.030416,0.040413,0.939667
internvl,pathvqa,downscale_upscale,1,2060,0.898058,0.031071,0.034759,0.950069
internvl,pathvqa,downscale_upscale,2,2060,0.898544,0.031596,0.035273,0.947295
internvl,pathvqa,downscale_upscale,3,2060,0.894660,0.031229,0.038352,0.942441
llavaov,vqa_rad,clean,0,122,0.663934,0.215052,0.174246,0.767442
llavaov,vqa_rad,gaussian_noise,1,122,0.680328,0.195680,0.162450,0.755814
llavaov,vqa_rad,gaussian_noise,2,122,0.672131,0.208353,0.178268,0.744186
llavaov,vqa_rad,gaussian_noise,3,122,0.663934,0.228958,0.185180,0.744186
llavaov,vqa_rad,gaussian_blur,1,122,0.696721,0.206191,0.164706,0.767442
llavaov,vqa_rad,gaussian_blur,2,122,0.680328,0.201769,0.162804,0.744186
llavaov,vqa_rad,gaussian_blur,3,122,0.696721,0.161802,0.150858,0.790698
llavaov,vqa_rad,motion_blur,1,122,0.680328,0.217640,0.156069,0.767442
llavaov,vqa_rad,motion_blur,2,122,0.713115,0.173619,0.141535,0.767442
llavaov,vqa_rad,motion_blur,3,122,0.721311,0.140152,0.151338,0.790698
llavaov,vqa_rad,brightness_shift,1,122,0.672131,0.205096,0.176398,0.744186
llavaov,vqa_rad,brightness_shift,2,122,0.672131,0.217838,0.164347,0.779070
llavaov,vqa_rad,brightness_shift,3,122,0.688525,0.178583,0.164642,0.755814
llavaov,vqa_rad,contrast_shift,1,122,0.639344,0.231114,0.177503,0.755814
llavaov,vqa_rad,contrast_shift,2,122,0.672131,0.210192,0.181300,0.744186
llavaov,vqa_rad,contrast_shift,3,122,0.672131,0.222119,0.180292,0.744186
llavaov,vqa_rad,jpeg_compression,1,122,0.680328,0.197132,0.176582,0.755814
llavaov,vqa_rad,jpeg_compression,2,122,0.721311,0.206356,0.160386,0.779070
llavaov,vqa_rad,jpeg_compression,3,122,0.680328,0.242675,0.184206,0.720930
llavaov,vqa_rad,downscale_upscale,1,122,0.647541,0.224122,0.173702,0.755814
llavaov,vqa_rad,downscale_upscale,2,122,0.680328,0.222690,0.158113,0.744186
llavaov,vqa_rad,downscale_upscale,3,122,0.696721,0.175107,0.146944,0.744186
llavaov,slake_en,clean,0,357,0.736695,0.198445,0.383019,0.732000
llavaov,slake_en,gaussian_noise,1,357,0.714286,0.218776,0.388878,0.732000
llavaov,slake_en,gaussian_noise,2,357,0.722689,0.209234,0.388490,0.728000
llavaov,slake_en,gaussian_noise,3,357,0.689076,0.231119,0.379996,0.720000
llavaov,slake_en,gaussian_blur,1,357,0.725490,0.204811,0.370161,0.728000
llavaov,slake_en,gaussian_blur,2,357,0.731092,0.222082,0.368375,0.712000
llavaov,slake_en,gaussian_blur,3,357,0.708683,0.211253,0.373053,0.732000
llavaov,slake_en,motion_blur,1,357,0.733894,0.215434,0.378505,0.732000
llavaov,slake_en,motion_blur,2,357,0.742297,0.189160,0.365385,0.748000
llavaov,slake_en,motion_blur,3,357,0.717087,0.192102,0.382487,0.744000
llavaov,slake_en,brightness_shift,1,357,0.739496,0.192142,0.383417,0.740000
llavaov,slake_en,brightness_shift,2,357,0.731092,0.204106,0.389271,0.720000
llavaov,slake_en,brightness_shift,3,357,0.733894,0.215985,0.392969,0.716000
llavaov,slake_en,contrast_shift,1,357,0.745098,0.195652,0.377979,0.740000
llavaov,slake_en,contrast_shift,2,357,0.742297,0.205575,0.376749,0.736000
llavaov,slake_en,contrast_shift,3,357,0.747899,0.213347,0.372484,0.720000
llavaov,slake_en,jpeg_compression,1,357,0.733894,0.199610,0.374932,0.728000
llavaov,slake_en,jpeg_compression,2,357,0.736695,0.203656,0.377809,0.728000
llavaov,slake_en,jpeg_compression,3,357,0.731092,0.210359,0.378192,0.740000
llavaov,slake_en,downscale_upscale,1,357,0.731092,0.213177,0.377797,0.724000
llavaov,slake_en,downscale_upscale,2,357,0.731092,0.227097,0.378282,0.720000
llavaov,slake_en,downscale_upscale,3,357,0.719888,0.207491,0.358466,0.720000
llavaov,pathvqa,clean,0,2060,0.754854,0.068781,0.167081,0.808599
llavaov,pathvqa,gaussian_noise,1,2060,0.763107,0.082339,0.165812,0.807906
llavaov,pathvqa,gaussian_noise,2,2060,0.753398,0.072044,0.167300,0.809986
llavaov,pathvqa,gaussian_noise,3,2060,0.735922,0.066328,0.177198,0.795423
llavaov,pathvqa,gaussian_blur,1,2060,0.757282,0.073975,0.170116,0.807212
llavaov,pathvqa,gaussian_blur,2,2060,0.747573,0.068181,0.168605,0.811373
llavaov,pathvqa,gaussian_blur,3,2060,0.720388,0.064907,0.186916,0.781553
llavaov,pathvqa,motion_blur,1,2060,0.749029,0.065641,0.172494,0.800971
llavaov,pathvqa,motion_blur,2,2060,0.744175,0.065263,0.174140,0.793343
llavaov,pathvqa,motion_blur,3,2060,0.725728,0.055536,0.181346,0.780860
llavaov,pathvqa,brightness_shift,1,2060,0.757767,0.071973,0.164681,0.814840
llavaov,pathvqa,brightness_shift,2,2060,0.757767,0.069541,0.163540,0.810680
llavaov,pathvqa,brightness_shift,3,2060,0.762621,0.077275,0.164972,0.808599
llavaov,pathvqa,contrast_shift,1,2060,0.757767,0.067246,0.164648,0.813454
llavaov,pathvqa,contrast_shift,2,2060,0.752427,0.060533,0.165695,0.809293
llavaov,pathvqa,contrast_shift,3,2060,0.745146,0.066607,0.173236,0.807212
llavaov,pathvqa,jpeg_compression,1,2060,0.751456,0.068569,0.176145,0.798197
llavaov,pathvqa,jpeg_compression,2,2060,0.749515,0.066631,0.175760,0.796117
llavaov,pathvqa,jpeg_compression,3,2060,0.734466,0.068622,0.183393,0.790569
llavaov,pathvqa,downscale_upscale,1,2060,0.757282,0.073879,0.169988,0.812067
