model,condition,modality,n,accuracy,ece,ece_ci_lo,ece_ci_hi,brier,nll,aurc,aurc_ci_lo,aurc_ci_hi,e_aurc
huatuo,ft_vqa_rad,CT(Computed Tomography),200,0.175000,0.588259,0.531122,0.653038,1.321287,4.075343,0.876962,0.812042,0.935116,0.354930
huatuo,ft_vqa_rad,Dermoscopy,200,0.545000,0.140897,0.117873,0.235329,0.683118,1.610185,0.443218,0.337810,0.535133,0.317881
huatuo,ft_vqa_rad,Fundus Photography,200,0.450000,0.125806,0.084885,0.203311,0.672326,1.235897,0.435618,0.348733,0.536188,0.243575
huatuo,ft_vqa_rad,MR (Mag-netic Resonance Imaging),200,0.285000,0.334456,0.283840,0.407042,0.983611,2.413368,0.728278,0.651772,0.797909,0.369248
huatuo,ft_vqa_rad,Microscopy Images,200,0.360000,0.229813,0.185469,0.307647,0.824908,1.792393,0.593789,0.501293,0.694469,0.319989
huatuo,ft_vqa_rad,OCT (Optical Coherence Tomography,200,0.590000,0.113254,0.084781,0.179471,0.550644,1.043742,0.198049,0.144671,0.257664,0.098329
huatuo,ft_vqa_rad,X-Ray,200,0.390000,0.268973,0.219085,0.353313,0.812375,2.419985,0.639559,0.548918,0.717639,0.395266
huatuo,ft_vqa_rad,ultrasound,200,0.030000,0.694016,0.660269,0.724854,1.472614,6.225261,0.959505,0.918586,0.992371,0.092346
huatuo,zero_shot,CT(Computed Tomography),200,0.155000,0.572341,0.510783,0.630947,1.308238,5.222363,0.899076,0.843641,0.943325,0.340948
huatuo,zero_shot,Dermoscopy,200,0.515000,0.203858,0.152965,0.272349,0.643758,1.743760,0.331523,0.243870,0.424953,0.187061
huatuo,zero_shot,Fundus Photography,200,0.435000,0.143068,0.113880,0.219797,0.679118,1.233673,0.487380,0.390246,0.589813,0.283069
huatuo,zero_shot,MR (Mag-netic Resonance Imaging),200,0.370000,0.258076,0.207163,0.328686,0.835993,2.414667,0.547831,0.452169,0.639910,0.284135
huatuo,zero_shot,Microscopy Images,200,0.435000,0.216194,0.169386,0.292642,0.776840,1.724897,0.549198,0.453549,0.643007,0.344887
huatuo,zero_shot,OCT (Optical Coherence Tomography,200,0.560000,0.097297,0.080245,0.172548,0.569982,1.138633,0.216594,0.160925,0.280443,0.100194
huatuo,zero_shot,X-Ray,200,0.365000,0.316939,0.262425,0.394023,0.912339,2.634319,0.694787,0.612897,0.776113,0.426073
huatuo,zero_shot,ultrasound,200,0.075000,0.669610,0.623296,0.714318,1.478068,6.664355,0.942514,0.897613,0.978785,0.209499
internvl,ft_vqa_rad,CT(Computed Tomography),200,0.130000,0.638877,0.581048,0.695586,1.376499,4.208796,0.926982,0.888098,0.958179,0.320051
internvl,ft_vqa_rad,Dermoscopy,200,0.620000,0.095703,0.080445,0.173909,0.516033,1.337667,0.293213,0.199968,0.377971,0.208647
internvl,ft_vqa_rad,Fundus Photography,200,0.535000,0.065278,0.058335,0.152546,0.620535,1.171553,0.376804,0.291432,0.480101,0.245280
internvl,ft_vqa_rad,MR (Mag-netic Resonance Imaging),200,0.320000,0.279000,0.229806,0.356453,0.939081,2.328498,0.731641,0.652847,0.802889,0.414566
internvl,ft_vqa_rad,Microscopy Images,200,0.420000,0.156733,0.137544,0.246357,0.786060,1.687727,0.523082,0.425843,0.620514,0.305986
internvl,ft_vqa_rad,OCT (Optical Coherence Tomography,200,0.600000,0.092281,0.062808,0.161113,0.577880,1.127571,0.205110,0.152858,0.269129,0.110608
internvl,ft_vqa_rad,X-Ray,200,0.470000,0.191185,0.156681,0.271529,0.719117,2.068463,0.539084,0.450503,0.627124,0.362623
internvl,ft_vqa_rad,ultrasound,200,0.140000,0.602680,0.551476,0.654940,1.322204,5.641281,0.874155,0.804350,0.941278,0.287275
internvl,zero_shot,CT(Computed Tomography),200,0.140000,0.642900,0.595285,0.709593,1.394679,5.864798,0.884641,0.817871,0.952407,0.297762
internvl,zero_shot,Dermoscopy,200,0.555000,0.149154,0.108883,0.220671,0.587849,1.752914,0.327589,0.233643,0.418559,0.208256
internvl,zero_shot,Fundus Photography,200,0.615000,0.173147,0.140998,0.254620,0.636586,1.219105,0.388045,0.294098,0.493336,0.301056
internvl,zero_shot,MR (Mag-netic Resonance Imaging),200,0.390000,0.250041,0.199151,0.333047,0.874342,2.635998,0.640233,0.551599,0.722194,0.395940
internvl,zero_shot,Microscopy Images,200,0.470000,0.220306,0.176912,0.297647,0.774122,1.772934,0.475284,0.382870,0.577426,0.298823
internvl,zero_shot,OCT (Optical Coherence Tomography,200,0.580000,0.080923,0.068078,0.153511,0.574639,1.169654,0.203197,0.149360,0.265464,0.098092
internvl,zero_shot,X-Ray,200,0.385000,0.293493,0.236414,0.370409,0.835189,2.492047,0.640062,0.551759,0.721700,0.391016
internvl,zero_shot,ultrasound,200,0.175000,0.580964,0.528835,0.642252,1.307924,5.963843,0.844309,0.773894,0.914736,0.322278
llavaov,ft_vqa_rad,CT(Computed Tomography),200,0.175000,0.581068,0.519268,0.637808,1.300724,4.221676,0.882078,0.831300,0.926768,0.360046
llavaov,ft_vqa_rad,Dermoscopy,200,0.540000,0.138972,0.112888,0.229581,0.648151,1.589821,0.402951,0.305944,0.501697,0.274545
llavaov,ft_vqa_rad,Fundus Photography,200,0.425000,0.116254,0.084007,0.192596,0.678957,1.231898,0.466435,0.374439,0.565295,0.253660
llavaov,ft_vqa_rad,MR (Mag-netic Resonance Imaging),200,0.360000,0.250678,0.199994,0.328083,0.890939,2.358397,0.628195,0.532317,0.708382,0.354394
llavaov,ft_vqa_rad,Microscopy Images,200,0.435000,0.259313,0.200173,0.334829,0.825196,1.814191,0.575902,0.481255,0.670399,0.371591
llavaov,ft_vqa_rad,OCT (Optical Coherence Tomography,200,0.580000,0.113610,0.092883,0.191580,0.559510,1.044097,0.226963,0.169041,0.294573,0.121857
llavaov,ft_vqa_rad,X-Ray,200,0.345000,0.333655,0.267631,0.408445,0.927629,2.787258,0.732697,0.652390,0.803151,0.443217
llavaov,ft_vqa_rad,ultrasound,200,0.045000,0.701067,0.663446,0.738206,1.501691,6.514637,0.955519,0.914411,0.986380,0.137727
llavaov,zero_shot,CT(Computed Tomography),200,0.190000,0.606706,0.550607,0.676997,1.370541,6.648620,0.911318,0.872556,0.944133,0.414842
llavaov,zero_shot,Dermoscopy,200,0.480000,0.262542,0.204368,0.327634,0.677045,1.877669,0.375827,0.279605,0.469045,0.206835
llavaov,zero_shot,Fundus Photography,200,0.425000,0.169008,0.132425,0.253578,0.697598,1.267628,0.521325,0.422980,0.622180,0.308549
llavaov,zero_shot,MR (Mag-netic Resonance Imaging),200,0.355000,0.297360,0.243548,0.369295,0.864805,2.645176,0.571115,0.468932,0.665698,0.292159
llavaov,zero_shot,Microscopy Images,200,0.410000,0.232704,0.186323,0.313938,0.810096,1.993586,0.534184,0.439306,0.632260,0.308268
llavaov,zero_shot,OCT (Optical Coherence Tomography,200,0.550000,0.091794,0.071504,0.166541,0.595914,1.181211,0.234606,0.174815,0.300891,0.112294
llavaov,zero_shot,X-Ray,200,0.300000,0.383040,0.322883,0.455169,1.022115,3.369280,0.764143,0.685025,0.830461,0.423591
llavaov,zero_shot,ultrasound,200,0.115000,0.666817,0.610842,0.718272,1.462832,6.691249,0.915223,0.859365,0.961173,0.276753
medgemma,ft_vqa_rad,CT(Computed Tomography),200,0.455000,0.332055,0.275707,0.409097,0.838312,1.661091,0.668858,0.585907,0.736179,0.480792
medgemma,ft_vqa_rad,Dermoscopy,200,0.680000,0.084973,0.069428,0.155714,0.424960,0.766466,0.155617,0.103489,0.217706,0.097069
medgemma,ft_vqa_rad,Fundus Photography,200,0.755000,0.204749,0.159185,0.262046,0.420694,0.762124,0.151869,0.091688,0.218336,0.118441
medgemma,ft_vqa_rad,MR (Mag-netic Resonance Imaging),200,0.615000,0.078079,0.078405,0.151740,0.468536,0.919651,0.153891,0.110579,0.210899,0.066902
medgemma,ft_vqa_rad,Microscopy Images,200,0.515000,0.187075,0.141621,0.257090,0.682066,1.550582,0.423296,0.334345,0.520819,0.278834
medgemma,ft_vqa_rad,OCT (Optical Coherence Tomography,200,0.685000,0.184743,0.148804,0.249079,0.492676,0.928624,0.153851,0.098942,0.219581,0.097225
medgemma,ft_vqa_rad,X-Ray,200,0.705000,0.095307,0.070919,0.169399,0.420534,0.756022,0.141211,0.095637,0.196513,0.091913
medgemma,ft_vqa_rad,ultrasound,200,0.420000,0.346688,0.279270,0.422570,0.901424,2.530944,0.573856,0.474727,0.671438,0.356761
medgemma,zero_shot,CT(Computed Tomography),200,0.315000,0.524166,0.469056,0.602879,1.206573,5.815403,0.811221,0.738731,0.866182,0.488397
medgemma,zero_shot,Dermoscopy,200,0.550000,0.257243,0.203834,0.327880,0.663683,1.812853,0.300912,0.217577,0.393723,0.178600
medgemma,zero_shot,Fundus Photography,200,0.620000,0.105008,0.085980,0.189908,0.534807,0.969940,0.301707,0.227218,0.384290,0.217141
medgemma,zero_shot,MR (Mag-netic Resonance Imaging),200,0.465000,0.289084,0.232631,0.353084,0.810571,2.619732,0.458174,0.360678,0.551065,0.277899
medgemma,zero_shot,Microscopy Images,200,0.385000,0.334033,0.269156,0.403833,0.904682,3.879682,0.551959,0.452631,0.646770,0.302913
medgemma,zero_shot,OCT (Optical Coherence Tomography,200,0.600000,0.074310,0.063191,0.148951,0.566109,1.423405,0.172610,0.127221,0.228347,0.078108
medgemma,zero_shot,X-Ray,200,0.485000,0.310217,0.262931,0.393038,0.793816,2.033905,0.440445,0.349514,0.538762,0.275110
medgemma,zero_shot,ultrasound,200,0.065000,0.768299,0.725101,0.810866,1.619155,10.841912,0.950499,0.917618,0.978311,0.190863
qwen25vl,ft_vqa_rad,CT(Computed Tomography),200,0.175000,0.582041,0.523799,0.642645,1.297790,4.119018,0.877146,0.817053,0.925724,0.355114
qwen25vl,ft_vqa_rad,Dermoscopy,200,0.535000,0.169312,0.135417,0.253712,0.720098,1.739187,0.467491,0.367279,0.559339,0.335968
qwen25vl,ft_vqa_rad,Fundus Photography,200,0.470000,0.125486,0.088972,0.202631,0.678787,1.266864,0.442905,0.353917,0.550100,0.266444
qwen25vl,ft_vqa_rad,MR (Mag-netic Resonance Imaging),200,0.300000,0.317695,0.261664,0.390056,0.968870,2.600625,0.717688,0.636444,0.787573,0.377136
qwen25vl,ft_vqa_rad,Microscopy Images,200,0.365000,0.238920,0.191157,0.317019,0.833005,1.829683,0.615372,0.521469,0.710233,0.346658
qwen25vl,ft_vqa_rad,OCT (Optical Coherence Tomography,200,0.560000,0.066925,0.059726,0.147797,0.569164,1.066680,0.232079,0.172748,0.297164,0.115680
qwen25vl,ft_vqa_rad,X-Ray,200,0.375000,0.281059,0.235322,0.367183,0.847446,2.605698,0.675942,0.593481,0.750790,0.417196
qwen25vl,ft_vqa_rad,ultrasound,200,0.035000,0.696803,0.660373,0.730961,1.487297,6.638946,0.964193,0.927298,0.992865,0.114174
qwen25vl,zero_shot,CT(Computed Tomography),200,0.155000,0.637110,0.579322,0.698611,1.409906,7.110017,0.922146,0.885367,0.954591,0.364018
qwen25vl,zero_shot,Dermoscopy,200,0.480000,0.287659,0.233451,0.360678,0.710699,2.255145,0.373089,0.283298,0.468004,0.204097
qwen25vl,zero_shot,Fundus Photography,200,0.300000,0.243645,0.196014,0.306986,0.760660,1.419366,0.584042,0.489139,0.686221,0.243491
qwen25vl,zero_shot,MR (Mag-netic Resonance Imaging),200,0.355000,0.309893,0.245070,0.376865,0.914033,3.176165,0.599651,0.505845,0.686421,0.320695
qwen25vl,zero_shot,Microscopy Images,200,0.450000,0.260305,0.216457,0.338563,0.828548,2.202265,0.579965,0.486618,0.670964,0.387922
qwen25vl,zero_shot,OCT (Optical Coherence Tomography,200,0.555000,0.107615,0.082704,0.181105,0.621667,1.345132,0.245836,0.185124,0.314639,0.126503
qwen25vl,zero_shot,X-Ray,200,0.345000,0.346966,0.301297,0.437503,0.976473,3.482141,0.736441,0.661638,0.803859,0.446962
qwen25vl,zero_shot,ultrasound,200,0.055000,0.726182,0.682223,0.767111,1.560460,8.701941,0.946809,0.907306,0.980817,0.159007
smolvlm,ft_vqa_rad,CT(Computed Tomography),200,0.275000,0.468538,0.411807,0.541040,1.136225,3.044694,0.761556,0.680044,0.835905,0.389771
smolvlm,ft_vqa_rad,Dermoscopy,200,0.490000,0.198269,0.141085,0.269763,0.671172,1.530681,0.348853,0.267620,0.439916,0.187122
smolvlm,ft_vqa_rad,Fundus Photography,200,0.515000,0.094252,0.079034,0.182185,0.629067,1.107381,0.445056,0.350174,0.537800,0.300595
smolvlm,ft_vqa_rad,MR (Mag-netic Resonance Imaging),200,0.450000,0.198104,0.163841,0.270241,0.724479,1.531601,0.435793,0.336259,0.531720,0.243750
smolvlm,ft_vqa_rad,Microscopy Images,200,0.380000,0.224936,0.178391,0.302317,0.824181,2.366721,0.588534,0.490819,0.677525,0.334670
smolvlm,ft_vqa_rad,OCT (Optical Coherence Tomography,200,0.570000,0.099639,0.081053,0.169122,0.529183,1.009903,0.193011,0.139761,0.259062,0.082346
smolvlm,ft_vqa_rad,X-Ray,200,0.435000,0.209888,0.169747,0.288808,0.761385,1.715333,0.502156,0.410146,0.601261,0.297845
smolvlm,ft_vqa_rad,ultrasound,200,0.070000,0.693600,0.648113,0.739300,1.534709,8.407292,0.964798,0.936087,0.987013,0.218651
smolvlm,zero_shot,CT(Computed Tomography),200,0.270000,0.494735,0.440232,0.566344,1.185705,3.590825,0.763354,0.677788,0.836628,0.385057
smolvlm,zero_shot,Dermoscopy,200,0.455000,0.279776,0.220170,0.346601,0.720140,1.696621,0.361839,0.278955,0.455647,0.173773
smolvlm,zero_shot,Fundus Photography,200,0.530000,0.113660,0.088143,0.193604,0.647185,1.202183,0.428052,0.332473,0.519116,0.293365
smolvlm,zero_shot,MR (Mag-netic Resonance Imaging),200,0.415000,0.246761,0.202151,0.314827,0.770366,1.744770,0.463366,0.360130,0.558358,0.241891
smolvlm,zero_shot,Microscopy Images,200,0.385000,0.246885,0.188577,0.323694,0.850021,2.709964,0.592642,0.498684,0.686747,0.343596
smolvlm,zero_shot,OCT (Optical Coherence Tomography,200,0.535000,0.097592,0.086995,0.169812,0.554183,1.065472,0.213087,0.159324,0.278134,0.081563
smolvlm,zero_shot,X-Ray,200,0.415000,0.272405,0.226224,0.354602,0.843191,2.302703,0.606703,0.518212,0.696178,0.385228
smolvlm,zero_shot,ultrasound,200,0.015000,0.773250,0.742964,0.803657,1.660157,11.910744,0.992640,0.982954,1.000000,0.068311
